GO.ID	Term	Annotated	Significant	Expected	KS
GO:0010376	stomatal complex formation	1	1	1	0.95248
GO:0007172	signal complex assembly	1	1	1	0.95259
GO:0043086	negative regulation of catalytic activity	52	52	52	0.95267
GO:0010114	response to red light	101	101	101	0.95274
GO:0070734	histone H3-K27 methylation	4	4	4	0.95275
GO:0010478	chlororespiration	1	1	1	0.95277
GO:0010103	stomatal complex morphogenesis	143	143	143	0.95375
GO:1900366	negative regulation of defense response to insect	1	1	1	0.95458
GO:0009769	photosynthesis, light harvesting in photosystem II	6	6	6	0.95460
GO:0071585	detoxification of cadmium ion	1	1	1	0.95533
GO:0048363	mucilage pectin metabolic process	3	3	3	0.95579
GO:0015800	acidic amino acid transport	5	5	5	0.95595
GO:0010113	negative regulation of systemic acquired resistance	2	2	2	0.95614
GO:0006751	glutathione catabolic process	3	3	3	0.95684
GO:0051245	negative regulation of cellular defense response	2	2	2	0.95689
GO:0043068	positive regulation of programmed cell death	11	11	11	0.95700
GO:0019252	starch biosynthetic process	190	190	190	0.95726
GO:1901430	positive regulation of syringal lignin biosynthetic process	1	1	1	0.95772
GO:0010157	response to chlorate	1	1	1	0.95779
GO:0006796	phosphate-containing compound metabolic process	1800	1800	1800	0.95801
GO:0009663	plasmodesma organization	2	2	2	0.95802
GO:0006493	protein O-linked glycosylation	2	2	2	0.95806
GO:0006271	DNA strand elongation involved in DNA replication	3	3	3	0.95845
GO:1901601	strigolactone biosynthetic process	1	1	1	0.95892
GO:0009072	aromatic amino acid family metabolic process	226	226	226	0.95905
GO:0045333	cellular respiration	99	99	99	0.95950
GO:0080006	internode patterning	2	2	2	0.96000
GO:0006364	rRNA processing	241	241	241	0.96031
GO:0010447	response to acidic pH	2	2	2	0.96038
GO:0035556	intracellular signal transduction	460	460	460	0.96040
GO:0030243	cellulose metabolic process	125	125	125	0.96064
GO:0045926	negative regulation of growth	15	15	15	0.96094
GO:0051026	chiasma assembly	15	15	15	0.96095
GO:0055075	potassium ion homeostasis	11	11	11	0.96102
GO:0019365	pyridine nucleotide salvage	3	3	3	0.96128
GO:0016119	carotene metabolic process	11	11	11	0.96180
GO:0016556	mRNA modification	114	114	114	0.96206
GO:0042306	regulation of protein import into nucleus	1	1	1	0.96244
GO:0030643	cellular phosphate ion homeostasis	4	4	4	0.96247
GO:0032204	regulation of telomere maintenance	54	54	54	0.96296
GO:0043247	telomere maintenance in response to DNA damage	52	52	52	0.96312
GO:0034484	raffinose catabolic process	1	1	1	0.96349
GO:0006984	ER-nucleus signaling pathway	16	16	16	0.96390
GO:0006739	NADP metabolic process	186	186	186	0.96407
GO:2000027	regulation of organ morphogenesis	2	2	2	0.96438
GO:0030155	regulation of cell adhesion	1	1	1	0.96439
GO:0030003	cellular cation homeostasis	165	165	165	0.96441
GO:0051781	positive regulation of cell division	5	5	5	0.96443
GO:0032877	positive regulation of DNA endoreduplication	3	3	3	0.96444
GO:0090322	regulation of superoxide metabolic process	4	4	4	0.96447
GO:0015680	intracellular copper ion transport	2	2	2	0.96491
GO:0031408	oxylipin biosynthetic process	20	20	20	0.96496
GO:0071291	cellular response to selenium ion	1	1	1	0.96506
GO:0071433	cell wall repair	1	1	1	0.96569
GO:0042351	'de novo' GDP-L-fucose biosynthetic process	1	1	1	0.96584
GO:0010155	regulation of proton transport	77	77	77	0.96599
GO:0044148	positive regulation of growth of symbiont involved in interaction with host	1	1	1	0.96603
GO:0030026	cellular manganese ion homeostasis	4	4	4	0.96610
GO:0071365	cellular response to auxin stimulus	69	69	69	0.96631
GO:0048578	positive regulation of long-day photoperiodism, flowering	4	4	4	0.96651
GO:0007263	nitric oxide mediated signal transduction	2	2	2	0.96660
GO:0080181	lateral root branching	2	2	2	0.96669
GO:0034434	sterol esterification	2	2	2	0.96687
GO:0016127	sterol catabolic process	2	2	2	0.96687
GO:0010375	stomatal complex patterning	9	9	9	0.96792
GO:0006808	regulation of nitrogen utilization	6	6	6	0.96794
GO:0033356	UDP-L-arabinose metabolic process	3	3	3	0.96796
GO:0042761	very long-chain fatty acid biosynthetic process	10	10	10	0.96805
GO:0006567	threonine catabolic process	11	11	11	0.96831
GO:0052651	monoacylglycerol catabolic process	1	1	1	0.96864
GO:0046340	diacylglycerol catabolic process	1	1	1	0.96864
GO:0034599	cellular response to oxidative stress	48	48	48	0.96910
GO:0000077	DNA damage checkpoint	1	1	1	0.96930
GO:0043489	RNA stabilization	5	5	5	0.96934
GO:0070574	cadmium ion transmembrane transport	2	2	2	0.96940
GO:1901038	cyanidin 3-O-glucoside metabolic process	1	1	1	0.96978
GO:1902478	negative regulation of defense response to bacterium, incompatible interaction	1	1	1	0.97037
GO:0009245	lipid A biosynthetic process	1	1	1	0.97060
GO:0072709	cellular response to sorbitol	1	1	1	0.97072
GO:0051511	negative regulation of unidimensional cell growth	1	1	1	0.97072
GO:0075733	intracellular transport of virus	1	1	1	0.97072
GO:0018008	N-terminal peptidyl-glycine N-myristoylation	1	1	1	0.97072
GO:0071325	cellular response to mannitol stimulus	1	1	1	0.97072
GO:0010350	cellular response to magnesium starvation	1	1	1	0.97072
GO:0071286	cellular response to magnesium ion	1	1	1	0.97072
GO:0042546	cell wall biogenesis	336	336	336	0.97099
GO:0003002	regionalization	208	208	208	0.97104
GO:0044272	sulfur compound biosynthetic process	475	475	475	0.97150
GO:0015996	chlorophyll catabolic process	57	57	57	0.97170
GO:0006284	base-excision repair	14	14	14	0.97189
GO:0046654	tetrahydrofolate biosynthetic process	3	3	3	0.97189
GO:0051607	defense response to virus	154	154	154	0.97207
GO:0009693	ethylene biosynthetic process	108	108	108	0.97224
GO:0006420	arginyl-tRNA aminoacylation	2	2	2	0.97228
GO:0035196	production of miRNAs involved in gene silencing by miRNA	129	129	129	0.97237
GO:0002679	respiratory burst involved in defense response	119	119	119	0.97253
GO:0045792	negative regulation of cell size	1	1	1	0.97267
GO:0010275	NAD(P)H dehydrogenase complex assembly	3	3	3	0.97350
GO:0000304	response to singlet oxygen	9	9	9	0.97353
GO:1900109	regulation of histone H3-K9 dimethylation	2	2	2	0.97428
GO:0042391	regulation of membrane potential	1	1	1	0.97436
GO:0009635	response to herbicide	1	1	1	0.97502
GO:0090359	negative regulation of abscisic acid biosynthetic process	1	1	1	0.97512
GO:0015976	carbon utilization	8	8	8	0.97513
GO:0006816	calcium ion transport	118	118	118	0.97537
GO:0043085	positive regulation of catalytic activity	117	117	117	0.97566
GO:0016123	xanthophyll biosynthetic process	6	6	6	0.97589
GO:0006952	defense response	1485	1485	1485	0.97625
GO:0080188	RNA-directed DNA methylation	10	10	10	0.97647
GO:0008299	isoprenoid biosynthetic process	421	421	421	0.97674
GO:2000071	regulation of defense response by callose deposition	1	1	1	0.97687
GO:0055081	anion homeostasis	21	21	21	0.97750
GO:0007131	reciprocal meiotic recombination	137	137	137	0.97764
GO:0000710	meiotic mismatch repair	8	8	8	0.97773
GO:0070207	protein homotrimerization	1	1	1	0.97775
GO:0035278	miRNA mediated inhibition of translation	1	1	1	0.97785
GO:0001709	cell fate determination	6	6	6	0.97804
GO:0072660	maintenance of protein location in plasma membrane	1	1	1	0.97821
GO:0006354	DNA-templated transcription, elongation	123	123	123	0.97825
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	1	1	1	0.97851
GO:0009314	response to radiation	1214	1214	1214	0.97855
GO:0031426	polycistronic mRNA processing	1	1	1	0.97858
GO:0080165	callose deposition in phloem sieve plate	3	3	3	0.97881
GO:0009058	biosynthetic process	5498	5498	5498	0.97881
GO:0048497	maintenance of floral organ identity	6	6	6	0.97934
GO:0019684	photosynthesis, light reaction	313	313	313	0.97959
GO:0007141	male meiosis I	1	1	1	0.97960
GO:0048457	floral whorl morphogenesis	1	1	1	0.97980
GO:0016226	iron-sulfur cluster assembly	97	97	97	0.97995
GO:1902448	positive regulation of shade avoidance	2	2	2	0.97999
GO:0033169	histone H3-K9 demethylation	3	3	3	0.98004
GO:0090435	protein localization to nuclear envelope	2	2	2	0.98043
GO:0017148	negative regulation of translation	143	143	143	0.98062
GO:0043091	L-arginine import	3	3	3	0.98062
GO:0006469	negative regulation of protein kinase activity	41	41	41	0.98081
GO:0042138	meiotic DNA double-strand break formation	84	84	84	0.98089
GO:0006546	glycine catabolic process	52	52	52	0.98116
GO:0035304	regulation of protein dephosphorylation	135	135	135	0.98117
GO:0006835	dicarboxylic acid transport	13	13	13	0.98135
GO:0035674	tricarboxylic acid transmembrane transport	1	1	1	0.98135
GO:0015786	UDP-glucose transport	3	3	3	0.98136
GO:0072334	UDP-galactose transmembrane transport	3	3	3	0.98136
GO:0010312	detoxification of zinc ion	1	1	1	0.98145
GO:0010299	detoxification of cobalt ion	1	1	1	0.98145
GO:0016553	base conversion or substitution editing	6	6	6	0.98164
GO:0006974	cellular response to DNA damage stimulus	292	292	292	0.98175
GO:0005996	monosaccharide metabolic process	322	322	322	0.98182
GO:0045910	negative regulation of DNA recombination	7	7	7	0.98240
GO:0006401	RNA catabolic process	114	114	114	0.98244
GO:0010067	procambium histogenesis	9	9	9	0.98245
GO:0051726	regulation of cell cycle	286	286	286	0.98269
GO:0015914	phospholipid transport	2	2	2	0.98318
GO:0009299	mRNA transcription	2	2	2	0.98325
GO:2000605	positive regulation of secondary growth	1	1	1	0.98338
GO:0080156	mitochondrial mRNA modification	12	12	12	0.98390
GO:0010022	meristem determinacy	10	10	10	0.98400
GO:0033494	ferulate metabolic process	1	1	1	0.98415
GO:0000724	double-strand break repair via homologous recombination	66	66	66	0.98427
GO:0032212	positive regulation of telomere maintenance via telomerase	1	1	1	0.98434
GO:0010363	regulation of plant-type hypersensitive response	362	362	362	0.98435
GO:0030388	fructose 1,6-bisphosphate metabolic process	2	2	2	0.98452
GO:0000165	MAPK cascade	208	208	208	0.98462
GO:0031396	regulation of protein ubiquitination	1	1	1	0.98471
GO:0070179	D-serine biosynthetic process	1	1	1	0.98488
GO:0009742	brassinosteroid mediated signaling pathway	38	38	38	0.98522
GO:0007163	establishment or maintenance of cell polarity	5	5	5	0.98523
GO:0035437	maintenance of protein localization in endoplasmic reticulum	2	2	2	0.98534
GO:0071493	cellular response to UV-B	5	5	5	0.98538
GO:0048577	negative regulation of short-day photoperiodism, flowering	3	3	3	0.98539
GO:0006805	xenobiotic metabolic process	2	2	2	0.98540
GO:0035865	cellular response to potassium ion	2	2	2	0.98553
GO:0006612	protein targeting to membrane	367	367	367	0.98587
GO:0010332	response to gamma radiation	75	75	75	0.98601
GO:0043570	maintenance of DNA repeat elements	5	5	5	0.98602
GO:0080169	cellular response to boron-containing substance deprivation	1	1	1	0.98606
GO:0007267	cell-cell signaling	76	76	76	0.98637
GO:0050793	regulation of developmental process	795	795	795	0.98646
GO:0071370	cellular response to gibberellin stimulus	69	69	69	0.98668
GO:0006725	cellular aromatic compound metabolic process	4319	4319	4319	0.98675
GO:0010306	rhamnogalacturonan II biosynthetic process	5	5	5	0.98679
GO:0071230	cellular response to amino acid stimulus	2	2	2	0.98679
GO:0051938	L-glutamate import	2	2	2	0.98704
GO:0046396	D-galacturonate metabolic process	1	1	1	0.98720
GO:0018316	peptide cross-linking via L-cystine	1	1	1	0.98732
GO:0015864	pyrimidine nucleoside transport	1	1	1	0.98745
GO:0015783	GDP-fucose transport	2	2	2	0.98754
GO:0010730	negative regulation of hydrogen peroxide biosynthetic process	1	1	1	0.98836
GO:0006849	plasma membrane pyruvate transport	1	1	1	0.98847
GO:0000024	maltose biosynthetic process	1	1	1	0.98870
GO:0010136	ureide catabolic process	4	4	4	0.98909
GO:0048868	pollen tube development	164	164	164	0.98920
GO:0001736	establishment of planar polarity	3	3	3	0.98925
GO:0009866	induced systemic resistance, ethylene mediated signaling pathway	2	2	2	0.98946
GO:0006515	misfolded or incompletely synthesized protein catabolic process	2	2	2	0.98952
GO:0080021	response to benzoic acid	1	1	1	0.98952
GO:0018208	peptidyl-proline modification	33	33	33	0.98955
GO:0000169	activation of MAPK activity involved in osmosensory signaling pathway	1	1	1	0.98961
GO:1990019	protein storage vacuole organization	1	1	1	0.98967
GO:0042304	regulation of fatty acid biosynthetic process	6	6	6	0.98980
GO:2000013	regulation of arginine biosynthetic process via ornithine	1	1	1	0.98981
GO:0035434	copper ion transmembrane transport	2	2	2	0.99007
GO:0006882	cellular zinc ion homeostasis	20	20	20	0.99013
GO:0060862	negative regulation of floral organ abscission	2	2	2	0.99024
GO:0060145	viral gene silencing in virus induced gene silencing	1	1	1	0.99056
GO:0048587	regulation of short-day photoperiodism, flowering	5	5	5	0.99108
GO:0009831	plant-type cell wall modification involved in multidimensional cell growth	19	19	19	0.99115
GO:0010323	negative regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	1	1	1	0.99119
GO:0006636	unsaturated fatty acid biosynthetic process	70	70	70	0.99145
GO:0010042	response to manganese ion	2	2	2	0.99157
GO:0006290	pyrimidine dimer repair	6	6	6	0.99159
GO:0031122	cytoplasmic microtubule organization	21	21	21	0.99196
GO:0009637	response to blue light	126	126	126	0.99268
GO:0010054	trichoblast differentiation	352	352	352	0.99269
GO:0006446	regulation of translational initiation	11	11	11	0.99269
GO:0006349	regulation of gene expression by genetic imprinting	11	11	11	0.99271
GO:0048640	negative regulation of developmental growth	6	6	6	0.99272
GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation	1	1	1	0.99272
GO:0000002	mitochondrial genome maintenance	5	5	5	0.99290
GO:0009962	regulation of flavonoid biosynthetic process	113	113	113	0.99293
GO:0010218	response to far red light	97	97	97	0.99301
GO:0018343	protein farnesylation	1	1	1	0.99309
GO:0045597	positive regulation of cell differentiation	5	5	5	0.99311
GO:2000104	negative regulation of DNA-dependent DNA replication	7	7	7	0.99317
GO:0009638	phototropism	13	13	13	0.99325
GO:0045487	gibberellin catabolic process	5	5	5	0.99326
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	3	3	3	0.99345
GO:0034720	histone H3-K4 demethylation	1	1	1	0.99371
GO:0048508	embryonic meristem development	57	57	57	0.99382
GO:0070407	oxidation-dependent protein catabolic process	1	1	1	0.99475
GO:0006656	phosphatidylcholine biosynthetic process	5	5	5	0.99482
GO:0046909	intermembrane transport	1	1	1	0.99482
GO:0000023	maltose metabolic process	152	152	152	0.99488
GO:0010495	long-distance posttranscriptional gene silencing	2	2	2	0.99499
GO:0043407	negative regulation of MAP kinase activity	13	13	13	0.99501
GO:2000692	negative regulation of seed maturation	2	2	2	0.99511
GO:0060867	fruit abscission	1	1	1	0.99511
GO:0051085	chaperone mediated protein folding requiring cofactor	2	2	2	0.99547
GO:0044257	cellular protein catabolic process	422	422	422	0.99556
GO:0010337	regulation of salicylic acid metabolic process	9	9	9	0.99569
GO:2000185	regulation of phosphate transmembrane transport	1	1	1	0.99572
GO:0007143	female meiotic division	5	5	5	0.99572
GO:0070212	protein poly-ADP-ribosylation	1	1	1	0.99588
GO:0009773	photosynthetic electron transport in photosystem I	50	50	50	0.99589
GO:0019853	L-ascorbic acid biosynthetic process	14	14	14	0.99598
GO:0009851	auxin biosynthetic process	116	116	116	0.99601
GO:0016125	sterol metabolic process	169	169	169	0.99621
GO:0005513	detection of calcium ion	7	7	7	0.99630
GO:0036292	DNA rewinding	1	1	1	0.99637
GO:0048209	regulation of vesicle targeting, to, from or within Golgi	1	1	1	0.99640
GO:0015995	chlorophyll biosynthetic process	124	124	124	0.99648
GO:2000029	regulation of proanthocyanidin biosynthetic process	1	1	1	0.99649
GO:0006596	polyamine biosynthetic process	13	13	13	0.99670
GO:0019567	arabinose biosynthetic process	1	1	1	0.99671
GO:0071457	cellular response to ozone	3	3	3	0.99673
GO:0015809	arginine transport	4	4	4	0.99678
GO:0010258	NADH dehydrogenase complex (plastoquinone) assembly	3	3	3	0.99680
GO:0048024	regulation of mRNA splicing, via spliceosome	3	3	3	0.99683
GO:0006376	mRNA splice site selection	1	1	1	0.99683
GO:0032197	transposition, RNA-mediated	1	1	1	0.99691
GO:0090241	negative regulation of histone H4 acetylation	1	1	1	0.99691
GO:0051574	positive regulation of histone H3-K9 methylation	2	2	2	0.99692
GO:0016117	carotenoid biosynthetic process	101	101	101	0.99694
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	27	27	27	0.99695
GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway	4	4	4	0.99701
GO:0043182	vacuolar sequestering of sodium ion	1	1	1	0.99702
GO:0051016	barbed-end actin filament capping	2	2	2	0.99707
GO:0006311	meiotic gene conversion	1	1	1	0.99719
GO:0009767	photosynthetic electron transport chain	72	72	72	0.99743
GO:0006168	adenine salvage	5	5	5	0.99744
GO:0010158	abaxial cell fate specification	6	6	6	0.99753
GO:0010198	synergid death	1	1	1	0.99773
GO:0000740	nuclear membrane fusion	1	1	1	0.99773
GO:1900111	positive regulation of histone H3-K9 dimethylation	1	1	1	0.99781
GO:0006655	phosphatidylglycerol biosynthetic process	63	63	63	0.99797
GO:0010203	response to very low fluence red light stimulus	1	1	1	0.99800
GO:0009828	plant-type cell wall loosening	26	26	26	0.99803
GO:0006177	GMP biosynthetic process	3	3	3	0.99808
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	230	230	230	0.99810
GO:0015979	photosynthesis	415	415	415	0.99834
GO:0010161	red light signaling pathway	8	8	8	0.99835
GO:0071588	hydrogen peroxide mediated signaling pathway	2	2	2	0.99867
GO:0022900	electron transport chain	95	95	95	0.99874
GO:0015977	carbon fixation	13	13	13	0.99885
GO:0048446	petal morphogenesis	73	73	73	0.99911
GO:0010037	response to carbon dioxide	3	3	3	0.99924
GO:0000904	cell morphogenesis involved in differentiation	293	293	293	0.99927
GO:0080158	chloroplast ribulose bisphosphate carboxylase complex biogenesis	3	3	3	0.99931
GO:0010076	maintenance of floral meristem identity	7	7	7	0.99935
GO:2000121	regulation of removal of superoxide radicals	2	2	2	0.99937
GO:0007638	mechanosensory behavior	1	1	1	0.99938
GO:0010600	regulation of auxin biosynthetic process	4	4	4	0.99938
GO:0007043	cell-cell junction assembly	5	5	5	0.99940
GO:0032263	GMP salvage	1	1	1	0.99949
GO:0032264	IMP salvage	1	1	1	0.99949
GO:0006178	guanine salvage	1	1	1	0.99949
GO:0046100	hypoxanthine metabolic process	1	1	1	0.99949
GO:0051455	attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation	1	1	1	0.99964
GO:0051754	meiotic sister chromatid cohesion, centromeric	1	1	1	0.99964
GO:0010289	homogalacturonan biosynthetic process	3	3	3	0.99973
GO:0018131	oxazole or thiazole biosynthetic process	1	1	1	0.99974
GO:0048445	carpel morphogenesis	9	9	9	0.99974
GO:0009073	aromatic amino acid family biosynthetic process	93	93	93	0.99979
GO:0045004	DNA replication proofreading	1	1	1	0.99981
GO:0043137	DNA replication, removal of RNA primer	1	1	1	0.99981
GO:0006297	nucleotide-excision repair, DNA gap filling	1	1	1	0.99981
GO:0006287	base-excision repair, gap-filling	1	1	1	0.99981
GO:0048638	regulation of developmental growth	252	252	252	0.99983
GO:0042350	GDP-L-fucose biosynthetic process	3	3	3	0.99986
GO:0009991	response to extracellular stimulus	341	341	341	0.99990
GO:0010027	thylakoid membrane organization	196	196	196	0.99990
GO:0006098	pentose-phosphate shunt	182	182	182	0.99991
GO:0019674	NAD metabolic process	6	6	6	0.99997
GO:0048281	inflorescence morphogenesis	4	4	4	0.99998
GO:0009756	carbohydrate mediated signaling	103	103	103	1.00000
GO:0009757	hexose mediated signaling	6	6	6	1.00000
GO:0032409	regulation of transporter activity	34	34	34	1.00000
GO:1901503	ether biosynthetic process	1	1	1	1.00000
GO:0010863	positive regulation of phospholipase C activity	1	1	1	1.00000
GO:0098581	detection of external biotic stimulus	16	16	16	1.00000
GO:0071822	protein complex subunit organization	608	608	608	1.00000
GO:0071824	protein-DNA complex subunit organization	20	20	20	1.00000
GO:0098586	cellular response to virus	103	103	103	1.00000
GO:0071826	ribonucleoprotein complex subunit organization	12	12	12	1.00000
GO:0048832	specification of plant organ number	2	2	2	1.00000
GO:0022402	cell cycle process	596	596	596	1.00000
GO:0022403	cell cycle phase	8	8	8	1.00000
GO:0022406	membrane docking	19	19	19	1.00000
GO:0009720	detection of hormone stimulus	6	6	6	1.00000
GO:0071840	cellular component organization or biogenesis	3095	3095	3095	1.00000
GO:0030832	regulation of actin filament length	107	107	107	1.00000
GO:0009726	detection of endogenous stimulus	6	6	6	1.00000
GO:0032196	transposition	1	1	1	1.00000
GO:0030837	negative regulation of actin filament polymerization	7	7	7	1.00000
GO:0019220	regulation of phosphate metabolic process	192	192	192	1.00000
GO:0030838	positive regulation of actin filament polymerization	101	101	101	1.00000
GO:0019222	regulation of metabolic process	2383	2383	2383	1.00000
GO:1902850	microtubule cytoskeleton organization involved in mitosis	2	2	2	1.00000
GO:1901698	response to nitrogen compound	773	773	773	1.00000
GO:0042168	heme metabolic process	26	26	26	1.00000
GO:1901699	cellular response to nitrogen compound	173	173	173	1.00000
GO:0009712	catechol-containing compound metabolic process	1	1	1	1.00000
GO:0009713	catechol-containing compound biosynthetic process	1	1	1	1.00000
GO:0009714	chalcone metabolic process	1	1	1	1.00000
GO:0015931	nucleobase-containing compound transport	121	121	121	1.00000
GO:0010876	lipid localization	195	195	195	1.00000
GO:0009719	response to endogenous stimulus	1777	1777	1777	1.00000
GO:0060688	regulation of morphogenesis of a branching structure	2	2	2	1.00000
GO:0015936	coenzyme A metabolic process	8	8	8	1.00000
GO:0015939	pantothenate metabolic process	3	3	3	1.00000
GO:0052249	modulation of RNA levels in other organism involved in symbiotic interaction	102	102	102	1.00000
GO:1902882	regulation of response to oxidative stress	3	3	3	1.00000
GO:0042157	lipoprotein metabolic process	155	155	155	1.00000
GO:0019217	regulation of fatty acid metabolic process	8	8	8	1.00000
GO:1902884	positive regulation of response to oxidative stress	2	2	2	1.00000
GO:0042158	lipoprotein biosynthetic process	155	155	155	1.00000
GO:0019218	regulation of steroid metabolic process	2	2	2	1.00000
GO:0018871	1-aminocyclopropane-1-carboxylate metabolic process	1	1	1	1.00000
GO:0019219	regulation of nucleobase-containing compound metabolic process	1729	1729	1729	1.00000
GO:0098542	defense response to other organism	991	991	991	1.00000
GO:0098543	detection of other organism	15	15	15	1.00000
GO:0001738	morphogenesis of a polarized epithelium	3	3	3	1.00000
GO:0009746	response to hexose	169	169	169	1.00000
GO:0042180	cellular ketone metabolic process	166	166	166	1.00000
GO:0042181	ketone biosynthetic process	38	38	38	1.00000
GO:0042182	ketone catabolic process	93	93	93	1.00000
GO:0050657	nucleic acid transport	67	67	67	1.00000
GO:0050658	RNA transport	67	67	67	1.00000
GO:0070646	protein modification by small protein removal	134	134	134	1.00000
GO:0070647	protein modification by small protein conjugation or removal	287	287	287	1.00000
GO:1905392	plant organ morphogenesis	779	779	779	1.00000
GO:1905393	plant organ formation	202	202	202	1.00000
GO:0006996	organelle organization	1933	1933	1933	1.00000
GO:0033321	homomethionine metabolic process	1	1	1	1.00000
GO:0006998	nuclear envelope organization	2	2	2	1.00000
GO:1901661	quinone metabolic process	37	37	37	1.00000
GO:0030808	regulation of nucleotide biosynthetic process	1	1	1	1.00000
GO:0050684	regulation of mRNA processing	4	4	4	1.00000
GO:1901663	quinone biosynthetic process	37	37	37	1.00000
GO:0043331	response to dsRNA	143	143	143	1.00000
GO:1901668	regulation of superoxide dismutase activity	1	1	1	1.00000
GO:0051814	movement in other organism involved in symbiotic interaction	8	8	8	1.00000
GO:0051816	acquisition of nutrients from other organism during symbiotic interaction	1	1	1	1.00000
GO:0051817	modification of morphology or physiology of other organism involved in symbiotic interaction	112	112	112	1.00000
GO:0071804	cellular potassium ion transport	10	10	10	1.00000
GO:0071805	potassium ion transmembrane transport	10	10	10	1.00000
GO:0071806	protein transmembrane transport	118	118	118	1.00000
GO:1901652	response to peptide	1	1	1	1.00000
GO:0008544	epidermis development	28	28	28	1.00000
GO:1901656	glycoside transport	2	2	2	1.00000
GO:0042126	nitrate metabolic process	11	11	11	1.00000
GO:1901657	glycosyl compound metabolic process	230	230	230	1.00000
GO:0090501	RNA phosphodiester bond hydrolysis	22	22	22	1.00000
GO:1901658	glycosyl compound catabolic process	25	25	25	1.00000
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	16	16	16	1.00000
GO:1901659	glycosyl compound biosynthetic process	178	178	178	1.00000
GO:0010833	telomere maintenance via telomere lengthening	4	4	4	1.00000
GO:0052200	response to host defenses	8	8	8	1.00000
GO:0060631	regulation of meiosis I	2	2	2	1.00000
GO:0033331	ent-kaurene metabolic process	1	1	1	1.00000
GO:0006968	cellular defense response	3	3	3	1.00000
GO:0070601	centromeric sister chromatid cohesion	1	1	1	1.00000
GO:0006950	response to stress	3616	3616	3616	1.00000
GO:1901678	iron coordination entity transport	1	1	1	1.00000
GO:0048560	establishment of anatomical structure orientation	1	1	1	1.00000
GO:0090691	formation of plant organ boundary	7	7	7	1.00000
GO:0090693	plant organ senescence	67	67	67	1.00000
GO:0002252	immune effector process	276	276	276	1.00000
GO:0006986	response to unfolded protein	178	178	178	1.00000
GO:0002253	activation of immune response	32	32	32	1.00000
GO:0090696	post-embryonic plant organ development	304	304	304	1.00000
GO:0090697	post-embryonic plant organ morphogenesis	221	221	221	1.00000
GO:0090698	post-embryonic plant morphogenesis	438	438	438	1.00000
GO:1901615	organic hydroxy compound metabolic process	721	721	721	1.00000
GO:1901616	organic hydroxy compound catabolic process	33	33	33	1.00000
GO:0006971	hypotonic response	2	2	2	1.00000
GO:1901617	organic hydroxy compound biosynthetic process	548	548	548	1.00000
GO:0009890	negative regulation of biosynthetic process	482	482	482	1.00000
GO:0009891	positive regulation of biosynthetic process	543	543	543	1.00000
GO:0009893	positive regulation of metabolic process	574	574	574	1.00000
GO:0009894	regulation of catabolic process	23	23	23	1.00000
GO:0045089	positive regulation of innate immune response	42	42	42	1.00000
GO:0009895	negative regulation of catabolic process	4	4	4	1.00000
GO:1903792	negative regulation of anion transport	2	2	2	1.00000
GO:0009896	positive regulation of catabolic process	7	7	7	1.00000
GO:1903793	positive regulation of anion transport	1	1	1	1.00000
GO:0032147	activation of protein kinase activity	1	1	1	1.00000
GO:0035065	regulation of histone acetylation	3	3	3	1.00000
GO:1903795	regulation of inorganic anion transmembrane transport	1	1	1	1.00000
GO:0048559	establishment of floral organ orientation	1	1	1	1.00000
GO:0048580	regulation of post-embryonic development	449	449	449	1.00000
GO:0048581	negative regulation of post-embryonic development	83	83	83	1.00000
GO:0048582	positive regulation of post-embryonic development	52	52	52	1.00000
GO:0048583	regulation of response to stimulus	703	703	703	1.00000
GO:0048584	positive regulation of response to stimulus	95	95	95	1.00000
GO:0048585	negative regulation of response to stimulus	351	351	351	1.00000
GO:0006928	movement of cell or subcellular component	52	52	52	1.00000
GO:1905328	plant septum development	1	1	1	1.00000
GO:0048588	developmental cell growth	311	311	311	1.00000
GO:0090662	ATP hydrolysis coupled transmembrane transport	4	4	4	1.00000
GO:0048572	short-day photoperiodism	9	9	9	1.00000
GO:0002220	innate immune response activating cell surface receptor signaling pathway	1	1	1	1.00000
GO:0002221	pattern recognition receptor signaling pathway	1	1	1	1.00000
GO:0071554	cell wall organization or biogenesis	753	753	753	1.00000
GO:0045013	carbon catabolite repression of transcription	1	1	1	1.00000
GO:0098660	inorganic ion transmembrane transport	53	53	53	1.00000
GO:0098661	inorganic anion transmembrane transport	2	2	2	1.00000
GO:0098662	inorganic cation transmembrane transport	51	51	51	1.00000
GO:0048525	negative regulation of viral process	1	1	1	1.00000
GO:0002218	activation of innate immune response	32	32	32	1.00000
GO:0048511	rhythmic process	163	163	163	1.00000
GO:0032101	regulation of response to external stimulus	30	30	30	1.00000
GO:1902593	single-organism nuclear import	128	128	128	1.00000
